"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2013020674","20132014","R",2014-01-11,"19","23",1,2,"home win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2013020177","20132014","R",2013-10-29,"24","4",3,2,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020225","20122013","R",2013-02-19,"29","24",2,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012020577","20122013","R",2013-04-08,"12","6",2,6,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013021085","20132014","R",2014-03-25,"17","29",2,4,"home win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020122","20122013","R",2013-02-03,"1","2",3,0,"away win REG","left","Nassau Coliseum","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020387","20122013","R",2013-03-13,"26","27",2,5,"home win REG",NA,"Jobing.com Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2013021036","20132014","R",2014-03-19,"15","24",3,2,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012020510","20122013","R",2013-03-31,"26","30",3,4,"home win SO","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2013020704","20132014","R",2014-01-15,"20","18",2,4,"home win REG","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2013020021","20132014","R",2013-10-05,"17","6",1,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020511","20122013","R",2013-03-30,"15","7",4,3,"away win SO","left","First Niagara Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020116","20122013","R",2013-02-03,"16","20",3,2,"away win SO","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2013020885","20132014","R",2014-02-27,"19","23",0,1,"home win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2013020937","20132014","R",2014-03-06,"8","24",4,3,"away win SO","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2013020275","20132014","R",2013-11-14,"4","5",2,1,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2013020411","20132014","R",2013-12-04,"5","2",3,2,"away win OT","left","Nassau Coliseum","/api/v1/venues/null","America/New_York",-4,"EDT"
